"variable_name","type","description"
"plot_ID",,
"name",,
"description",,
"foreign_attack",,
"victims_wounded",,
"victims_killed",,
"year",,
"plot_status",,
"method_of_prevention",,
"ideology",,
"legal_1",,
"legal_2",,
"legal_3",,
"legal_4",,
"legal_5",,
"legal_6",,
"array_legal",,
"source_1",,
"source_2",,
"source_3",,
"source_4",,
"source_5",,
"source_6",,
"array_sources",,
"_id_depreciated",,
"id_2_depreciated",,
"plot_initiation",,
